date,lsi,contrib_M1,share_M1,contrib_M2,share_M2,contrib_M3,share_M3,contrib_M4,share_M4,contrib_M5,share_M5,score_M1,score_M2,score_M3,score_M4,score_M5,status
2024-08-09,99.17993975514867,83.40374504927834,0.840933612736427,8.410469636073605,0.08480010833679699,3.2108829983599527,0.032374318902459995,0.45679161315759265,0.0046056855275905684,3.698053179442633,0.037286301933357024,84.0933612736427,8.4800108336797,3.2374318902459995,0.46056855275905684,3.7286301933357024,red
2024-08-10,99.17944561190652,83.79857244906489,0.8449187423064689,8.411489616030948,0.08481081502457145,3.304004718206901,0.03331340176205073,0.4281795196047361,0.0043172203369659995,3.237195719630534,0.032639784379293886,84.49187423064689,8.481081502457146,3.3313401762050727,0.43172203369659995,3.2639784379293886,red
2024-08-11,99.17911618307842,84.19037956270361,0.8488720489028503,8.4271636214703,0.08496913408579165,3.3259493883344096,0.0335347754278725,0.29094471558631,0.0029335280125832573,2.944675685199587,0.029690481207393506,84.88720489028503,8.496913408579164,3.3534775427872496,0.29335280125832575,2.9690481207393504,red
2024-08-12,99.17889656385968,84.1070819813787,0.8480340565921048,8.493273887342394,0.085635898175916,3.342014553716316,0.03369683137747401,0.19724984160810383,0.0019888287573465576,3.0392702478249536,0.030644324076221363,84.80340565921048,8.5635898175916,3.369683137747401,0.19888287573465577,3.064432407622136,red
2024-08-13,99.1787501510472,83.88211297105795,0.8457669898371094,8.587123431853298,0.08658229125468193,3.338462562357227,0.03366106708617337,0.25138898884938615,0.0025347061589960137,3.1196609948620324,0.031454933542829015,84.57669898371094,8.658229125468193,3.366106708617337,0.25347061589960135,3.1454933542829013,red
2024-08-04,99.17830421123276,79.50555318989038,0.8016425953458248,6.634877449577214,0.06689847645959003,2.792467335403345,0.028156030269038165,0.4402363769468735,0.004438837510361597,9.80516931642645,0.0988640549403136,80.16425953458248,6.689847645959003,2.8156030269038164,0.4438837510361597,9.88640549403136,red
2024-08-03,99.17822765413803,79.59999884827093,0.8025954963206057,6.313283033437492,0.06365593722297257,2.80268224582979,0.028259047495822573,0.42938938670623716,0.004329472272923015,10.032874018164375,0.10116004546029787,80.25954963206057,6.365593722297256,2.825904749582257,0.4329472272923015,10.116004546029787,red
2024-08-02,99.17811281849593,79.70373326140073,0.8036423662069986,6.049124655701476,0.060992536395322115,2.8354537795404253,0.028589511324232778,0.4104658169997739,0.004138673396124808,10.179335052984392,0.102636910137758,80.36423662069986,6.099253639532211,2.858951132423278,0.4138673396124808,10.2636910137758,red
2024-08-01,99.1779405650328,79.86333400862532,0.8052529983344175,5.802229969627769,0.05850323102669328,2.814865763950249,0.028381974337372832,0.36555468862993024,0.0036858467371605613,10.331955132917665,0.10417593946854353,80.52529983344175,5.8503231026693285,2.838197433737283,0.36858467371605613,10.417593946854353,red
2024-07-31,99.17768218483809,80.68694470414027,0.813559491678415,5.588104413856672,0.056344373963510115,2.7149392138713777,0.027374497508537533,0.27257858407925073,0.002748386311057807,9.915116307063972,0.09997326100629278,81.3559491678415,5.634437396351012,2.737449750853753,0.2748386311057807,9.997326100629278,red
2024-07-30,99.17729461454603,81.64727811487388,0.8232456675915308,5.28886620645199,0.05332738936877886,2.5558477746425647,0.025770492980030396,0.19296186582600777,0.0019456254233991442,9.492339762282668,0.09571081565770455,82.32456675915309,5.3327389368778855,2.5770492980030397,0.1945625423399144,9.571081565770454,red
2024-07-29,99.17671325910793,85.51212737135523,0.8622198151288524,5.437608933761246,0.054827476683513524,2.6696030634823957,0.026917639995871025,0.2651415709475277,0.0026734256685319057,5.292231549606868,0.053361634759769114,86.22198151288524,5.482747668351353,2.6917639995871023,0.2673425668531906,5.336163475976911,red
2024-07-28,99.17584122595078,84.48076537947088,0.8518280695698831,5.204111444102097,0.05247358005510284,2.806634310458502,0.028299576547721843,0.37869361092333,0.0038184058359591647,6.30563386550866,0.06358034161911097,85.18280695698832,5.247358005510284,2.8299576547721843,0.3818405835959165,6.358034161911097,red
