date_raw,n_documents,documents,page,date
4 марта 2026 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20260304_182231929.docx;https://roskazna.gov.ru/storage/operation-day-files/20260304_182231963.XML;https://roskazna.gov.ru/storage/operation-day-files/20260304_190819608.docx;https://roskazna.gov.ru/storage/operation-day-files/20260304_190819382.XML;https://roskazna.gov.ru/storage/operation-day-files/20260304_182231410.docx;https://roskazna.gov.ru/storage/operation-day-files/20260304_182231794.XML,6,2026-03-04
5 марта 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260305_113238817.docx;https://roskazna.gov.ru/storage/operation-day-files/20260305_113238533.XML,6,2026-03-05
6 марта 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260306_112127321.docx;https://roskazna.gov.ru/storage/operation-day-files/20260306_112127895.XML,6,2026-03-06
10 марта 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260310_110230572.docx;https://roskazna.gov.ru/storage/operation-day-files/20260310_110230890.xml,6,2026-03-10
11 марта 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260311_105236979.docx;https://roskazna.gov.ru/storage/operation-day-files/20260311_105236260.xml,6,2026-03-11
12 марта 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260312_120641902.docx;https://roskazna.gov.ru/storage/operation-day-files/20260312_120641989.xml,6,2026-03-12
16 марта 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260316_174432505.docx;https://roskazna.gov.ru/storage/operation-day-files/20260316_174432635.XML;https://roskazna.gov.ru/storage/operation-day-files/20260316_174432451.docx;https://roskazna.gov.ru/storage/operation-day-files/20260316_174432807.XML,6,2026-03-16
17 марта 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260317_155359437.docx;https://roskazna.gov.ru/storage/operation-day-files/20260317_155359924.xml,5,2026-03-17
18 марта 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260318_105302512.docx;https://roskazna.gov.ru/storage/operation-day-files/20260318_105302603.xml,5,2026-03-18
19 марта 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260319_164113778.docx;https://roskazna.gov.ru/storage/operation-day-files/20260319_164210196.xml,5,2026-03-19
23 марта 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260323_110921560.docx;https://roskazna.gov.ru/storage/operation-day-files/20260323_110921237.xml,5,2026-03-23
25 марта 2026 00:00,2,https://roskazna.gov.ru/storage/operation-day-files/20260325_111304380.docx;https://roskazna.gov.ru/storage/operation-day-files/20260325_111304356.xml,5,2026-03-25
26 марта 2026 00:00,8,https://roskazna.gov.ru/storage/operation-day-files/20260326_180354570.docx;https://roskazna.gov.ru/storage/operation-day-files/20260326_180354634.XML;https://roskazna.gov.ru/storage/operation-day-files/20260326_180354823.docx;https://roskazna.gov.ru/storage/operation-day-files/20260326_180354326.XML;https://roskazna.gov.ru/storage/operation-day-files/20260326_180354715.docx;https://roskazna.gov.ru/storage/operation-day-files/20260326_180354343.XML;https://roskazna.gov.ru/storage/operation-day-files/20260326_180354381.docx;https://roskazna.gov.ru/storage/operation-day-files/20260326_180354991.XML,5,2026-03-26
27 марта 2026 00:00,8,https://roskazna.gov.ru/storage/operation-day-files/20260327_185149984.docx;https://roskazna.gov.ru/storage/operation-day-files/20260327_185149748.XML;https://roskazna.gov.ru/storage/operation-day-files/20260327_185149712.docx;https://roskazna.gov.ru/storage/operation-day-files/20260327_185149546.xml;https://roskazna.gov.ru/storage/operation-day-files/20260327_185149423.docx;https://roskazna.gov.ru/storage/operation-day-files/20260327_185149173.XML;https://roskazna.gov.ru/storage/operation-day-files/20260327_185149876.docx;https://roskazna.gov.ru/storage/operation-day-files/20260327_185149682.XML,5,2026-03-27
30 марта 2026 00:00,6,https://roskazna.gov.ru/storage/operation-day-files/20260330_190105150.docx;https://roskazna.gov.ru/storage/operation-day-files/20260330_190105247.XML;https://roskazna.gov.ru/storage/operation-day-files/20260330_182840253.docx;https://roskazna.gov.ru/storage/operation-day-files/20260330_182840681.XML;https://roskazna.gov.ru/storage/operation-day-files/20260330_182840966.docx;https://roskazna.gov.ru/storage/operation-day-files/20260330_182840848.XML,5,2026-03-30
31 марта 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260331_190920964.docx;https://roskazna.gov.ru/storage/operation-day-files/20260331_190920576.XML;https://roskazna.gov.ru/storage/operation-day-files/20260331_190920651.docx;https://roskazna.gov.ru/storage/operation-day-files/20260331_190920486.XML,5,2026-03-31
1 апреля 2026 00:00,4,https://roskazna.gov.ru/storage/operation-day-files/20260401_190449980.docx;https://roskazna.gov.ru/storage/operation-day-files/20260401_190449292.xml;https://roskazna.gov.ru/storage/operation-day-files/20260401_190449322.docx;https://roskazna.gov.ru/storage/operation-day-files/20260401_190449102.xml,5,2026-04-01
